sample,bestValue,bestWeight,bestFitness,average,time
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.082366ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.120358ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.091281ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.101654ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.187877ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.082365ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.093728ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.109865ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,214,22.105068ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.089706ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.154123ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.093259ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.097543ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.109887ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.084418ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.113199ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.11103ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.105539ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.091016ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.180445ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.088334ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.09403ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.128772ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.097273ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.096273ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.172097ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.078209ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.129388ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.220097ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.255549ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.280144ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.295214ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.388095ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.179322ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.126598ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.116438ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.369195ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.192982ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.117058ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.238751ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.24261ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.172202ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.092553ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.171031ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.07937ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074171ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.103431ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.087089ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.136507ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.755342ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.148459ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.110869ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.162251ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.075305ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.076272ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.178952ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074584ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.080873ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.09512ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.074537ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.092061ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.167629ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.08072ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.075699ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.108213ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.077628ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.068912ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.11731ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.062201ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.165154ms
